.model,date,points,.mean
ARIMA(points ~ trend() + season()),1/13/2025,N(0.49, 11)
ARIMA(points ~ trend() + season()),1/14/2025,N(0.49, 11)
ARIMA(points ~ trend() + season()),1/15/2025,N(0.49, 11)
ARIMA(points ~ trend() + season()),1/16/2025,N(5.7, 11)
ARIMA(points ~ trend() + season()),1/17/2025,N(0.5, 11)
ARIMA(points ~ trend() + season()),1/18/2025,N(0.5, 11)
ARIMA(points ~ trend() + season()),1/19/2025,N(0.5, 11)
ARIMA(points ~ trend() + season()),1/20/2025,N(0.5, 11)
ARIMA(points ~ trend() + season()),1/21/2025,N(0.5, 11)
ARIMA(points ~ trend() + season()),1/22/2025,N(0.5, 11)
ARIMA(points ~ trend() + season()),1/23/2025,N(5.7, 11)
ARIMA(points ~ trend() + season()),1/24/2025,N(0.5, 11)
ARIMA(points ~ trend() + season()),1/25/2025,N(0.5, 11)
ARIMA(points ~ trend() + season()),1/26/2025,N(0.5, 11)
ARIMA(points ~ trend() + season()),1/27/2025,N(0.5, 11)
ARIMA(points ~ trend() + season()),1/28/2025,N(0.5, 11)
ARIMA(points ~ trend() + season()),1/29/2025,N(0.5, 11)
ARIMA(points ~ trend() + season()),1/30/2025,N(5.7, 11)
ARIMA(points ~ trend() + season()),1/31/2025,N(0.5, 11)
ARIMA(points ~ trend() + season()),2/1/2025,N(0.5, 11)
ARIMA(points ~ trend() + season()),2/2/2025,N(0.5, 11)
ARIMA(points ~ trend() + season()),2/3/2025,N(0.5, 11)
ARIMA(points ~ trend() + season()),2/4/2025,N(0.5, 11)
ARIMA(points ~ trend() + season()),2/5/2025,N(0.5, 11)
ARIMA(points ~ trend() + season()),2/6/2025,N(5.7, 11)
ARIMA(points ~ trend() + season()),2/7/2025,N(0.5, 11)
ARIMA(points ~ trend() + season()),2/8/2025,N(0.5, 11)
ARIMA(points ~ trend() + season()),2/9/2025,N(0.5, 11)
ARIMA(points ~ trend() + season()),2/10/2025,N(0.5, 11)
ARIMA(points ~ trend() + season()),2/11/2025,N(0.5, 11)
ARIMA(points ~ trend() + season()),2/12/2025,N(0.5, 11)
ARIMA(points ~ trend() + season()),2/13/2025,N(5.7, 11)
ARIMA(points ~ trend() + season()),2/14/2025,N(0.5, 11)
ARIMA(points ~ trend() + season()),2/15/2025,N(0.5, 11)
ARIMA(points ~ trend() + season()),2/16/2025,N(0.5, 11)
ARIMA(points ~ trend() + season()),2/17/2025,N(0.5, 11)
ARIMA(points ~ trend() + season()),2/18/2025,N(0.5, 11)
ARIMA(points ~ trend() + season()),2/19/2025,N(0.5, 11)
ARIMA(points ~ trend() + season()),2/20/2025,N(5.7, 11)
ARIMA(points ~ trend() + season()),2/21/2025,N(0.5, 11)
ARIMA(points ~ trend() + season()),2/22/2025,N(0.5, 11)
ARIMA(points ~ trend() + season()),2/23/2025,N(0.5, 11)
ARIMA(points ~ trend() + season()),2/24/2025,N(0.5, 11)
ARIMA(points ~ trend() + season()),2/25/2025,N(0.5, 11)
ARIMA(points ~ trend() + season()),2/26/2025,N(0.5, 11)
ARIMA(points ~ trend() + season()),2/27/2025,N(5.7, 11)
ARIMA(points ~ trend() + season()),2/28/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),3/1/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),3/2/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),3/3/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),3/4/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),3/5/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),3/6/2025,N(5.7, 11)
ARIMA(points ~ trend() + season()),3/7/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),3/8/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),3/9/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),3/10/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),3/11/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),3/12/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),3/13/2025,N(5.7, 11)
ARIMA(points ~ trend() + season()),3/14/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),3/15/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),3/16/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),3/17/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),3/18/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),3/19/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),3/20/2025,N(5.7, 11)
ARIMA(points ~ trend() + season()),3/21/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),3/22/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),3/23/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),3/24/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),3/25/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),3/26/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),3/27/2025,N(5.7, 11)
ARIMA(points ~ trend() + season()),3/28/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),3/29/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),3/30/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),3/31/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),4/1/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),4/2/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),4/3/2025,N(5.7, 11)
ARIMA(points ~ trend() + season()),4/4/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),4/5/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),4/6/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),4/7/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),4/8/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),4/9/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),4/10/2025,N(5.7, 11)
ARIMA(points ~ trend() + season()),4/11/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),4/12/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),4/13/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),4/14/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),4/15/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),4/16/2025,N(0.51, 11)
ARIMA(points ~ trend() + season()),4/17/2025,N(5.7, 11)
ARIMA(points ~ trend() + season()),4/18/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),4/19/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),4/20/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),4/21/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),4/22/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),4/23/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),4/24/2025,N(5.7, 11)
ARIMA(points ~ trend() + season()),4/25/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),4/26/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),4/27/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),4/28/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),4/29/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),4/30/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),5/1/2025,N(5.7, 11)
ARIMA(points ~ trend() + season()),5/2/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),5/3/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),5/4/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),5/5/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),5/6/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),5/7/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),5/8/2025,N(5.7, 11)
ARIMA(points ~ trend() + season()),5/9/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),5/10/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),5/11/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),5/12/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),5/13/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),5/14/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),5/15/2025,N(5.7, 11)
ARIMA(points ~ trend() + season()),5/16/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),5/17/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),5/18/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),5/19/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),5/20/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),5/21/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),5/22/2025,N(5.7, 11)
ARIMA(points ~ trend() + season()),5/23/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),5/24/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),5/25/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),5/26/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),5/27/2025,N(0.52, 11)
ARIMA(points ~ trend() + season()),5/28/2025,N(0.52, 11)
